dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,Arnes.lgf,lp,41,114,273128,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.83208,69.6107,3799.55,OK
Backbone,Arnes.lgf,lp,41,114,317397,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,344351,727008,211.124,OK
Backbone,Arnes.lgf,lp,41,114,317397,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.3483e+06,5.00005e+06,370.841,OK
Backbone,Arnes.lgf,lp,41,114,317397,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.85474e+06,6.49701e+06,350.292,OK
Backbone,Arnes.lgf,lp,41,114,317397,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.83208,69.6107,3799.55,OK
Backbone,BBNPlanet.lgf,lp,27,56,8319,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,184222,585796,317.985,OK
Backbone,BBNPlanet.lgf,lp,27,56,8319,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.34363e+06,4.9594e+06,369.105,OK
Backbone,BBNPlanet.lgf,lp,27,56,8319,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.44384e+06,5.6389e+06,390.548,OK
Backbone,BBNPlanet.lgf,lp,27,56,8319,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.90412,330.562,17360.3,OK
Backbone,BBNPlanet.lgf,lp,27,56,9817,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,174780,521696,298.488,OK
Backbone,BBNPlanet.lgf,lp,27,56,9817,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.3547e+06,4.79014e+06,353.593,OK
Backbone,BBNPlanet.lgf,lp,27,56,9817,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,2.27598e+06,6.25053e+06,274.63,OK
Backbone,BBNPlanet.lgf,lp,27,56,9817,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.90412,330.562,17360.3,OK
Backbone,BICS.lgf,lp,33,96,61345,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,129510,546774,422.187,OK
Backbone,BICS.lgf,lp,33,96,61345,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.51133e+06,3.97176e+06,262.799,OK
Backbone,BICS.lgf,lp,33,96,61345,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.76244e+06,4.98858e+06,283.05,OK
Backbone,BICS.lgf,lp,33,96,61345,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.91676,254.894,13298.1,OK
Backbone,BICS.lgf,lp,33,96,83169,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,123529,377690,305.75,OK
