dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/ChinaTelecom.lgf,random_mst,bimodal,132,10203,18,10185,73,0,1854.15,1366.72,OK
Backbone,Backbone/ChinaTelecom.lgf,lp,bimodal,132,797699,NaN,NaN,NaN,NaN,5241.53,3364.31,OK
Backbone,Backbone/Cudi.lgf,electrical,bimodal,104,53,50,3,10,4.6,4563.2,648.737,OK
Backbone,Backbone/Cudi.lgf,ckr,bimodal,104,940,18,922,27,0,2876.82,359.311,OK
Backbone,Backbone/Cudi.lgf,frt,bimodal,104,70106,69716,390,15,4647.2,4294.01,269.139,OK
Backbone,Backbone/Cudi.lgf,random_mst,bimodal,104,931,5,926,25,0,3105.7,422.793,OK
Backbone,Backbone/Cudi.lgf,lp,bimodal,104,636906,NaN,NaN,NaN,NaN,4040.51,565.717,OK
Backbone,Backbone/Deltacom.lgf,electrical,bimodal,322,508,500,8,15,32.9333,12200.5,386.435,OK
Backbone,Backbone/Deltacom.lgf,ckr,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SEGFAULT
Backbone,Backbone/Deltacom.lgf,frt,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
Backbone,Backbone/Deltacom.lgf,random_mst,bimodal,322,NaN,33,NaN,54,0,2228.62,413.321,OK
Backbone,Backbone/Deltacom.lgf,lp,bimodal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TIMEOUT
Backbone,Backbone/Digex.lgf,electrical,bimodal,70,32,31,1,9,3.22222,12456.4,334.559,OK
Backbone,Backbone/Digex.lgf,ckr,bimodal,70,864,10,854,24,0,7133.31,225.606,OK
Backbone,Backbone/Digex.lgf,frt,bimodal,70,23149,22899,250,11,2081,3596.09,238.929,OK
Backbone,Backbone/Digex.lgf,random_mst,bimodal,70,138,1,137,8,0,6032.42,184.127,OK
Backbone,Backbone/Digex.lgf,lp,bimodal,70,102984,NaN,NaN,NaN,NaN,5371.19,193.881,OK
Backbone,Backbone/GRNet.lgf,electrical,bimodal,82,28,26,2,10,2.1,5652.85,989.107,OK
Backbone,Backbone/GRNet.lgf,ckr,bimodal,82,794,10,784,23,0,2667.59,1001.28,OK
Backbone,Backbone/GRNet.lgf,frt,bimodal,82,69028,68536,492,19,3606.58,3548.67,2410.34,OK
Backbone,Backbone/GRNet.lgf,random_mst,bimodal,82,413,2,411,16,0,2712.83,1319.03,OK
